,date,country_code,continent,cumulative_pos,cumulative_dec,curr_pos,gdp_per_cap,gini_index,gini_year,population,pop_density,unemploy_rates,dec_pos_ratio,cpos_norm,cdec_norm
31,2021-03-13,CZE,EU,1399078,23226,166053.0,23494.5962,25.9,2015,10669709.0,137.6933679,2.00999999,0.016600932900095636,0.13112616285973686,0.0021768166310815037
32,2021-03-11,DNK,EU,218660,2384,8256.0,60170.34264,28.2,2015,5818553.0,144.8409,5.019999981,0.010902771425958108,0.037579790026833135,0.0004097238608980618
33,2021-02-15,DJI,AF,5971,63,5908.0,3414.92487,41.6,2017,973560.0,41.36842105,10.97000027,0.010550996483001172,0.006133160770779408,6.47109577221743e-05
34,2021-02-15,DOM,,230563,2959,227604.0,8282.116359,45.7,2016,10738958.0,219.9785759,6.360000134,0.012833802474811657,0.02146977388308996,0.0002755388371944466
35,2021-02-15,ECU,SA,267701,15355,252346.0,6183.823825,44.7,2017,17373662.0,68.78868175,3.809999943,0.057358769672134206,0.015408438359166882,0.0008838090668507307
36,2021-02-15,SLV,,58053,1758,56295.0,4187.250031,38.0,2017,6453553.0,309.8814672,3.960000038,0.030282672730091467,0.008995509915235839,0.0002724080828033798
37,2021-03-14,EST,EU,84807,719,,23723.30611,32.7,2015,1326590.0,30.41124914,4.449999809,0.00847807374391265,0.06392856873638426,0.0005419911200898544
38,2021-02-15,ETH,AF,147092,2194,144898.0,855.7608623,35.0,2015,112078730.0,96.71878268,2.039999962,0.014915834987626792,0.0013123988824641393,1.957552516878091e-05
39,2021-02-15,FJI,OC,56,2,54.0,6175.88872,36.7,2013,889953.0,48.35703339,4.110000134,0.03571428571428571,6.292467130286656e-05,2.2473096893880914e-06
40,2021-03-14,FIN,EU,66871,354,66517.0,48782.78848,27.1,2015,5520314.0,18.14795012,6.699999809,0.0052937745809095126,0.012113622522197108,6.412678699074002e-05
41,2021-03-13,FRA,EU,4105527,64978,3767934.0,40493.92857,32.7,2015,67059887.0,122.2994355,8.43999958,0.01582695717261146,0.06122180015006586,0.0009689548090052702
42,2021-02-15,GAB,AF,12865,75,12790.0,7767.013404,38.0,2017,2172579.0,8.224764233,19.63999939,0.0058297706956859695,0.005921533808436886,3.4521184269939094e-05
43,2021-02-15,GEO,AS,265722,3363,262359.0,4697.704576,37.9,2017,3720382.0,65.19733021,11.56999969,0.012656084178201278,0.07142331083205972,0.000903939434176383
44,2021-03-14,DEU,EU,2569247,73371,137876.0,46445.2491,31.7,2015,83132799.0,237.2940123,3.140000105,0.02855739444280756,0.03090533496893326,0.000882575841094921
45,2021-02-15,GHA,AF,75836,533,75303.0,2202.115567,43.5,2016,30417856.0,130.8214292,4.119999886,0.007028324278706683,0.0024931408709410684,1.7522602513471037e-05
46,2021-03-13,GRC,EU,219521,7038,118719.0,19582.53598,36.0,2015,10716322.0,83.26518231,17.30999947,0.032060714009138076,0.02048473347478734,0.0006567551814885741
